date_of_fire,number_burning
2019-11-21,9
2019-11-22,86
2019-11-23,53
2019-11-24,108
2019-11-25,140
2019-11-27,15
2019-11-28,23
2019-11-29,96
2019-11-30,6
2019-12-02,2
2019-12-03,1
2019-12-04,4
2019-12-05,12
2019-12-06,32
2019-12-07,34
2019-12-08,66
2019-12-09,176
2019-12-10,61
2019-12-11,1
2019-12-12,8
2019-12-13,7
2019-12-14,24
2019-12-15,4
2019-12-16,44
2019-12-17,103
2019-12-18,71
2019-12-19,106
2019-12-20,446
2019-12-21,214
2019-12-22,231
2019-12-23,26
2019-12-24,84
2019-12-25,177
2019-12-26,220
2019-12-27,130
2019-12-28,5
2019-12-29,396
2019-12-30,2563
2019-12-31,778
