obs_id,LATITUDE,LONGITUDE,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,suburb
2532,-36.6054,147.2688,2019-11-21,1305,Terra,MODIS,MITTA MITTA
2533,-36.5636,147.2363,2019-11-21,1305,Terra,MODIS,ESKDALE
2534,-36.5652,147.2252,2019-11-21,1305,Terra,MODIS,ESKDALE
2535,-36.5657,147.1562,2019-11-21,1305,Terra,MODIS,UPPER GUNDOWRING
2536,-36.5673,147.145,2019-11-21,1305,Terra,MODIS,UPPER GUNDOWRING
2537,-36.4352,147.1725,2019-11-21,1305,Terra,MODIS,TALLANDOON
2538,-36.4008,147.1534,2019-11-21,1305,Terra,MODIS,SANDY CREEK
2539,-36.2809,147.4766,2019-11-21,1305,Terra,MODIS,TALLANGATTA VALLEY
2540,-36.2825,147.4655,2019-11-21,1305,Terra,MODIS,TALLANGATTA VALLEY
3810,-36.4095,147.1574,2019-11-22,8,Terra,MODIS,SANDY CREEK
3811,-36.568000000000005,147.2304,2019-11-22,8,Terra,MODIS,MITTA MITTA
3812,-36.5632,147.1439,2019-11-22,8,Terra,MODIS,UPPER GUNDOWRING
3813,-36.5653,147.1566,2019-11-22,8,Terra,MODIS,UPPER GUNDOWRING
3814,-36.5932,147.1486,2019-11-22,8,Terra,MODIS,MONGANS BRIDGE
3815,-36.6968,147.3909,2019-11-22,8,Terra,MODIS,MITTA MITTA
3816,-36.8883,147.4297,2019-11-22,8,Terra,MODIS,GLEN VALLEY
3817,-36.8936,146.6744,2019-11-22,8,Terra,MODIS,DANDONGADALE
3818,-36.9603,146.6378,2019-11-22,8,Terra,MODIS,ROSE RIVER
3819,-37.0612,146.9167,2019-11-22,8,Terra,MODIS,SELWYN
3820,-37.3219,148.2898,2019-11-22,8,Terra,MODIS,W TREE
3821,-37.3237,148.3013,2019-11-22,8,Terra,MODIS,W TREE
3822,-37.3272,148.3242,2019-11-22,8,Terra,MODIS,W TREE
3823,-37.436,147.6028,2019-11-22,8,Terra,MODIS,MARTHAVALE
3824,-37.4379,147.6145,2019-11-22,8,Terra,MODIS,MARTHAVALE
3825,-37.6469,147.3089,2019-11-22,8,Terra,MODIS,COBBANNAH
4094,-37.8129,148.2138,2019-11-22,422,Aqua,MODIS,TOSTAREE
4095,-37.811,148.2209,2019-11-22,422,Aqua,MODIS,TOSTAREE
4096,-37.7594,148.2206,2019-11-22,422,Aqua,MODIS,WOMBAT CREEK
4097,-37.7618,148.2068,2019-11-22,422,Aqua,MODIS,WOMBAT CREEK
4098,-37.7135,147.9573,2019-11-22,422,Aqua,MODIS,NOWA NOWA
4099,-37.7158,147.944,2019-11-22,422,Aqua,MODIS,NOWA NOWA
4100,-37.7181,147.9305,2019-11-22,422,Aqua,MODIS,NOWA NOWA
4101,-37.705999999999996,147.9414,2019-11-22,422,Aqua,MODIS,NOWA NOWA
4102,-37.7084,147.9278,2019-11-22,422,Aqua,MODIS,NOWA NOWA
4103,-38.0119,145.2614,2019-11-22,422,Aqua,MODIS,HALLAM
4104,-37.6494,147.3075,2019-11-22,422,Aqua,MODIS,COBBANNAH
4105,-37.6515,147.2947,2019-11-22,422,Aqua,MODIS,COBBANNAH
4106,-37.326,148.3329,2019-11-22,422,Aqua,MODIS,W TREE
